"","name","SC0.IN0","SC0.IN1","SC1.IN0","SC1.IN1","pool","id","location_code","historic_name","latitude","longitude","water_depth","sensor_depth","rec_time","cycle_time","start_data","end_data","sampling_rate","institution_source","region","sum_bins","neg_perc_sc","accuracy","balanced_accuracy","f1","recall","precision","in_per_mooring_stats_pool"
"1","AL16_AU_BF02",49370,4712,1711,35431,"test",2,"BF02","AL16_AU_BF2",71.7540667,-154.45635,98,91.6,80,300,2016-09-09 07:00:00,2017-08-14 12:20:00,16384,"AFSC",2,91224,59.2848373235114,0.929590897132334,0.933403298474334,0.916892023031636,0.953933552312746,0.88261963480557,1
"3","AL16_AU_CC02",49396,948,3481,32751,"test",6,"CC02","AL16_AU_CC2",70.0156333,-166.85975,47,43.4,80,300,2016-09-20 07:00:00,2017-08-08 05:20:00,16384,"AFSC",1,86576,58.150064683053,0.94884263537239,0.942547130456524,0.936666142340307,0.903924707440936,0.971868601442179,1
"4","AL16_AU_CL01",51532,1081,3681,29722,"test",7,"CL01","AL16_AU_CL1",69.3189833,-167.6077833,49,46,80,300,2016-09-21 07:00:00,2017-08-07 03:20:00,16384,"AFSC",1,86016,61.1665271577381,0.944638206845238,0.934627032254759,0.925832476715572,0.889800317336766,0.964906015647827,1
"5","AL16_AU_IC01",52717,3451,535,30993,"test",8,"IC01","AL16_AU_IC1",70.8347667,-163.1136167,43,42.9,80,300,2016-09-17 07:00:00,2017-08-09 09:20:00,16384,"AFSC",2,87696,64.0485312899106,0.95454752782339,0.960795139321948,0.939580428060389,0.983030956609998,0.899808384624318,1
"7","AL16_AU_IC03",48425,4873,517,37577,"test",10,"IC03","AL16_AU_IC3",71.8290333,-166.0792333,43,39.5,80,300,2016-09-15 07:00:00,2017-08-21 03:20:00,16384,"AFSC",2,91392,58.3180147058823,0.941023284313726,0.947499493497132,0.933080055621772,0.98642830892004,0.885206124852768,1
"8","AL16_AU_NM01",54720,1607,575,27994,"test",11,"NM01","AL16_AU_NM1",64.8486833,-168.3928,41,38.1,80,300,2016-09-24 07:00:00,2017-08-05 23:20:00,16384,"AFSC",1,84896,66.3482378439502,0.974297964568413,0.97567172725722,0.96248925563005,0.979873289229584,0.94571129353738,1
"9","AL16_AU_PB01",38400,2064,5132,45460,"test",13,"PB01","AL16_AU_PB1",71.2055833,-158.0016283,46,44.7,80,300,2016-09-08 07:00:00,2017-08-12 21:20:00,16384,"AFSC",2,91056,44.4385872430153,0.920971709717097,0.923776366820405,0.926658241265441,0.898561037318153,0.956569312347445,1
"10","AL16_AU_PH01",54627,4065,413,26575,"test",14,"PH01","AL16_AU_PH1",67.9068333,-168.1999833,57,53.7,80,300,2016-09-22 07:00:00,2017-08-06 21:20:00,16384,"AFSC",1,85680,68.5014005602241,0.947735760971055,0.957718518634345,0.922294717845492,0.98469690232696,0.867330287206266,1
"12","AL16_AU_WT01",50403,4565,316,35604,"test",17,"WT01","AL16_AU_WT1",71.0417,-160.51555,48,44.3,80,300,2016-09-08 07:00:00,2017-08-12 06:20:00,16384,"AFSC",2,90888,60.4788310888126,0.946296540797465,0.954077176791907,0.935851437132831,0.991202672605791,0.88635514949339,1
"14","AL17_AU_CC02",66957,3541,338,28060,"test",22,"CC02","AL17_AU_CC2",70.0159,-166.8596667,47,41.7,80,300,2017-08-09 07:00:00,2018-08-12 01:20:00,16384,"AFSC",1,98896,71.2849862481799,0.960776977835302,0.968934689044928,0.935348922482041,0.988097753362913,0.887946583968862,1
"17","AL17_AU_IC03",60221,3549,476,31402,"test",25,"IC03","AL17_AU_IC3",71.8298,-166.0782833,44,41.7,80,300,2017-08-22 07:00:00,2018-08-12 23:20:00,16384,"AFSC",2,95648,66.6715456674473,0.957918618266979,0.964707471797149,0.939771656017597,0.985068072024594,0.898457840977368,1
"18","AL17_AU_NM01",69160,1013,1081,27586,"test",26,"NM01","AL17_AU_NM1",64.8489833,-168.3917167,44,40.3,80,300,2017-08-05 18:26:00,2018-08-09 01:20:00,16384,"AFSC",1,98840,70.9965600971267,0.97881424524484,0.973927692253605,0.963433800160654,0.96229113614958,0.964579181090248,1
"19","AL17_AU_PB01",56262,1116,2882,38585,"test",28,"PB01","AL17_AU_PB1",71.2050167,-158.0189333,47,42.3,80,300,2017-08-14 07:00:00,2018-08-17 01:20:00,16384,"AFSC",2,98845,58.0484597096464,0.959552835247104,0.955524493786228,0.950744135619949,0.930498950973063,0.971889876829299,1
"20","AL17_AU_PH01",62136,1982,1040,29426,"test",29,"PH01","AL17_AU_PH1",67.9072333,-168.2019667,58,53.5,80,300,2017-08-24 07:00:00,2018-08-11 00:20:00,16384,"AFSC",1,94584,67.7894781358369,0.968049564408357,0.9674759145937,0.951158806606975,0.965863585636447,0.9368950585838,1
"21","AL17_AU_WT01",59587,2782,346,35957,"test",32,"WT01","AL17_AU_WT1",71.04145,-160.5150333,48,47.1,80,300,2017-08-13 07:00:00,2018-08-15 05:20:00,16384,"AFSC",2,98672,63.2084076536403,0.968299010864278,0.972931807061375,0.958316675994776,0.990469107236317,0.928186065721882,1
"22","AL18_AU_BF02",58117,5354,977,33831,"test",34,"BF02","AL18_AU_BF2",71.751,-154.4642167,88,85,80,300,2018-08-20 07:00:00,2019-08-20 18:20:00,16384,"AFSC",2,98279,64.5824642090375,0.935581355121644,0.943789127780759,0.914437852229265,0.971931739829924,0.863366083960699,1
"23","AL18_AU_IC01",62868,4116,170,30622,"test",36,"IC01","AL18_AU_IC1",70.8399333,-163.11665,45,43.1,80,300,2018-08-17 07:00:00,2019-08-15 21:20:00,16384,"AFSC",2,97776,68.5076092292587,0.956165112092947,0.966515787811824,0.934594842057073,0.994479085476747,0.881513040474408,1
